links,terms,snippets,question 1,response 1,response confidence 1,question 2,response 2,response confidence 2,res
https://news.google.com/__i/rss/rd/articles/CBMiUWh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL3RydWRlYXUtc2FuY3Rpb25zLW1vcmFsaXR5LXBvbGljZS1pcmFuLTEuNjU5NjA3MNIBAA?oc=5,Justin Trudeau,"Prime Minister Justin Trudeau announced Monday that Canada will levy sanctions on ""dozens"" of Iranian individuals and entities - including the country's so-called ""morality police"" - as security forces in Iran continue to crack down violently on protesters. Iran has been rocked by protests since Mahsa Amini, a 22-year-old woman, died after being detained by Iran's morality police this month - allegedly for not wearing her hijab properly. The demonstrations have spread to all of Iran's 31 provinces as people take to the streets to express their anger with Iran's theocratic government and its heavy-handed policing of what women wear.","Does this news show Justin Trudeau in a positive, negative or neutral way?",positive neutral negative,94.5% 5.5% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,pos
https://news.google.com/__i/rss/rd/articles/CBMiamh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS9zYXNrYXRjaGV3YW4vdWtyYWluaWFuLXBhdHJpb3QtZnVuZHJhaXNlLXdhci1odW1hbml0YXJpYW4tZWZmb3J0cy0xLjY0MjE3MjHSAQA?oc=5,Justin Trudeau,"put those resources to use. ""When we come together as people of the world, we can be very strong,"" Niland said. ""It was for this reason that I needed to do something for Ukraine. Russia's invasion of Ukraine continues to cut deeper into the country. On Wednesday, Prime Minister Justin Trudeau called their military actions a form of genocide. Kyiv police said Friday that 900 civilian bodies had been found in the capital, nearly all with gunshot wounds. ""I don't know how many people in the Western world have experienced air raid sirens or bombings … it's very scary,"" Niland","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,71.9% 28.1% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiR2h0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL2lzcmFlbC1wYWxlc3Rpbmlhbi1hcGFydGhlaWQtMS42NDM2MTM40gEA?oc=5,Justin Trudeau,"for human rights for all, not a select few."" Such comments - and the fact that a handful of Liberals bucked the government's condemnation of the movement to boycott Israel in 2016 - suggest that not all Liberals have been equally comfortable with the approach taken by Prime Minister Justin Trudeau. 'Apartheid' label rejected Pro-Israel organizations in Canada strenuously reject the apartheid label and have welcomed the Trudeau government's stance . ""Apartheid"" describes the system of organized discrimination that prevailed in South Africa until 1991. Since the Rome Statute of the International Criminal Court came into effect in 2002, it","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,100.0% 0% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiRmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3dvcmxkL2x5aW5nLWluLXN0YXRlLXF1ZWVuLWVsaXphYmV0aC0xLjY1ODY2NjHSAQA?oc=5,Justin Trudeau,"Ottawa for a national commemorative ceremony. CBC News Network will rebroadcast the funeral at 7 p.m. ET. CBC Radio One's live funeral coverage will start at 5:30 a.m. ET, which will also be available on the CBC Listen app. Trudeau pays tribute to late monarch On Saturday, Prime Minister Justin Trudeau stopped to view the casket ahead of a meeting with the King at Buckingham Palace. The King also met with the prime ministers of the 14 other countries where he is head of state. Trudeau and his wife Sophie Grégoire Trudeau also signed a book of condolence at Lancaster","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,99.5% 0.5% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiXWh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS9vdHRhd2EvcG9saWNpbmctZW5kLW90dGF3YS1wcm90ZXN0LWNvdmlkLTE5LW1hbmRhdGVzLTEuNjMzNzU2M9IBAA?oc=5,Justin Trudeau,"court injunction. He added he could only recall two incidents in recent history when the armed forces were dispatched: the Oka Crisis in 1990 and the October Crisis in 1970- not exactly reassuring historic examples. So that leaves politicians. It's not clear what Sloly is suggesting. Should Prime Minister Justin Trudeau or someone in his government speak with the protesters? That's not happening, say government sources. After all, some fly racist flags and have taken up the ""F--k Trudeau"" slogan. WATCH | Some of Trudeau's comments on Monday: Does the chief think the federal government should open a channel to","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral negative positive,99.2% 0.8% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiRGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3dvcmxkL3J1c3NpYS11a3JhaW5lLXB1dGluLW51Y2xlYXItMS42MzY2MjYy0gEA?oc=5,Justin Trudeau,"in fact, is destroying the future of his own country,"" EU Commission President Ursula von der Leyen said. The European Union, United States, United Kingdom and other allies have steadily stepped up the intensity of their sanctions since Russia launched the invasion late last week. WATCH | Prime Minister Justin Trudeau describes how sanctions will hurt Putin: While U.S. and European officials made clear they were still working out the mechanics of how to implement the latest measures, and intend to spare Russia's oil and natural gas exports, the sanctions in total potentially could amount to some of the toughest","Does this news show Justin Trudeau in a positive, negative or neutral way?",negative neutral positive,97.9% 2.1% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral negative positive,79.0% 21.0% 0%,neg
https://news.google.com/__i/rss/rd/articles/CBMiUmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2J1c2luZXNzL3Rpa3Rvay1lbXBsb3llZXMtam91cm5hbGlzdHMtZGF0YS1sZWFrcy0xLjY2OTUzNDjSAQA?oc=5,Justin Trudeau,"disclosure could add to pressure TikTok is facing in Washington from lawmakers and the Biden administration over security concerns about U.S. user data. Congress is set to pass legislation this week to ban U.S. government employees from downloading or using TikTok on their government-owned devices. Last year, Prime Minister Justin Trudeau said Canada's electronic spy agency was also watching out for security threats from TikTok. TikTok promises data protections In a separate email to employees seen by Reuters, TikTok Chief Executive Shou Zi Chew said the employees' ""misconduct is not at all representative of what I know our company's principles","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,100.0% 0% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiSWh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL3RydWRlYXUtc3VtbWl0LW9mLXRoZS1hbWVyaWNhcy0xLjY0ODU0ODPSAQA?oc=5,Justin Trudeau,"Leaders from across the Americas, including Prime Minister Justin Trudeau, signed on Friday to what U.S. President Joe Biden called a ""historic commitment"" to ease the pressure of northward migration. The agreement, the central accomplishment of the Summit of the Americas in California, commits Canada to spend $26.9 million this year on slowing the flow of migrants from Latin America and the Caribbean. The Los Angeles Declaration on Migration and Protection also includes a Canadian promise to welcome an additional 4,000 migrants from the region by 2028, as well as a pre-existing plan to bring in 50,000 more agricultural workers","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,76.4% 23.6% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiUGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL25vdHdpdGhzdGFuZGluZy1jbGF1c2UtZXhwbGFpbmVkLWZvcmQtMS42NjQxMjkz0gEA?oc=5,Justin Trudeau,"the federal Liberal government have all cried foul, saying that the use of the notwithstanding clause is trampling the rights of Canadians. ""Canadians themselves should be extremely worried about the increased commonality of provincial governments using the notwithstanding clause preemptively to suspend their fundamental rights and freedoms,"" Prime Minister Justin Trudeau said Friday. ""The Charter of Rights and Freedoms cannot become a suggestion. The outrage we're seeing across the country right now … I think, is a moment for all Canadians to reflect."" Here's a look at the notwithstanding clause, how it came to be and how it's being used","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral negative positive,74.4% 25.6% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiP2h0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL2NvbnZveS1pbnF1aXJ5LXN0YXJ0LTEuNjYxMzY3OdIBAA?oc=5,Justin Trudeau,"Alta. also played out, triggering economic concerns. Lawyers representing Saskatchewan and Alberta used their Thursday remarks to question whether the federal government properly consulted the provinces before invoking the law and whether other policing measures could have curbed the protests. Trudeau defends decision to invoke Emergencies Act Prime Minister Justin Trudeau has continued to defend his government's decision to invoke the Emergencies Act on Feb. 14 , saying it was necessary ""to get the situation back under control."" ""That's exactly what we did,"" Trudeau told a news conference Wednesday. WATCH | Trudeau says use of Emergencies Act was 'necessary': On","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,100.0% 0% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiR2h0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL3RydWRlYXUtY2xpbWF0ZS1jaGFuZ2UtYmlkZW4tMS42NjIxMDcw0gEA?oc=5,Pierre Poilievre,"have been calling on the Trudeau government to get rid of its price on carbon to help Canadians cope with inflation. ""Will the prime minister show some mercy for those people who are struggling to heat their homes and cancel his plan to triple the tax?"" asked Conservative Leader Pierre Poilievre asked during question period on Tuesday. While the U.S. has committed more than $300 billion to climate action, Canada is deploying $109 billion. That sum, said Environment and Climate Change Minister Steven Guilbeault, is greater than what the U.S. has committed on a per capita basis. Guilbeault said Canada","Does this news show Pierre Poilievre in a positive, negative or neutral way?",neutral positive negative,98.8% 1.2% 0%,"Is this news written with a positive, negative or neutral bias towards Pierre Poilievre?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiR2h0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL3RydWRlYXUtY2xpbWF0ZS1jaGFuZ2UtYmlkZW4tMS42NjIxMDcw0gEA?oc=5,Justin Trudeau,"Prime Minister Justin Trudeau is downplaying fears that Canada is falling behind the U.S. on climate action as Washington begins rolling out billions of dollars in new spending to reduce emissions. Trudeau suggested the federal government doesn't need to match the $369 billion the U.S. government announced in its Inflation Reduction Act (IRA) because Canada has a price on carbon and one of the world's most detailed climate plans. ""We're going to absolutely stay competitive,"" Trudeau said. ""One of the reasons the U.S. has to do so much more is they don't have a price on pollution. They have to","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,98.0% 2.0% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiY2h0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS9jYWxnYXJ5L2FwcGVhbC1jb3VydC1hbGJlcnRhLWZlZGVyYWwtYXNzZXNzbWVudC1hY3QtcnVsaW5nLTEuNjQ0Nzg2ONIBAA?oc=5,Justin Trudeau,"concerning the Impact Assessment Act that the controversial law is an ""existential threat"" to the division of powers guaranteed by the Constitution. WATCH | In the video at the top of this story, Alberta premier on why he's been 'waiting for this day for a long time' Prime Minister Justin Trudeau, later in the House of Commons, said the law delivered on a promise to reform a ""broken system and restore public trust in how decisions about major projects are made."" ""We will be appealing this decision."" The Alberta government, calling it a Trojan Horse, had challenged the Impact Assessment","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,100.0% 0% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiY2h0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS9jYWxnYXJ5L2FwcGVhbC1jb3VydC1hbGJlcnRhLWZlZGVyYWwtYXNzZXNzbWVudC1hY3QtcnVsaW5nLTEuNjQ0Nzg2ONIBAA?oc=5,Justin Trudeau,"in nature and the Impact Assessment Act and regulations remain in force,"" they said. Calgary Conservative MP Michelle Rempel said in a release that the Court of Appeal's opinion ""confirms what Albertans already knew: Bill C-69 was nothing more than an unconstitutional, ideologically driven power grab by [Prime Minister] Justin Trudeau that aimed to destroy Alberta's energy sector."" ""This government's constant attacks on Alberta's economy has cost thousands of jobs and destroyed livelihoods. After six years of ideological attacks by Justin Trudeau, Alberta deserves recompense for the destructive policy decisions."" The Canadian Association of Petroleum Producers, the oil and gas","Does this news show Justin Trudeau in a positive, negative or neutral way?",negative neutral positive,99.7% 0.3% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",negative neutral positive,99.2% 0.8% 0%,neg
https://news.google.com/__i/rss/rd/articles/CBMiY2h0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS9jYWxnYXJ5L2FwcGVhbC1jb3VydC1hbGJlcnRhLWZlZGVyYWwtYXNzZXNzbWVudC1hY3QtcnVsaW5nLTEuNjQ0Nzg2ONIBAA?oc=5,Justin Trudeau,"Albertans already knew: Bill C-69 was nothing more than an unconstitutional, ideologically driven power grab by [Prime Minister] Justin Trudeau that aimed to destroy Alberta's energy sector."" ""This government's constant attacks on Alberta's economy has cost thousands of jobs and destroyed livelihoods. After six years of ideological attacks by Justin Trudeau, Alberta deserves recompense for the destructive policy decisions."" The Canadian Association of Petroleum Producers, the oil and gas industry's largest lobby group, said the decision keeps the necessary constitutional balance between provincial and federal governments ""in making decisions regarding projects that will advance Canada's prosperity while protecting our environment.""","Does this news show Justin Trudeau in a positive, negative or neutral way?",negative neutral positive,99.0% 1.0% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",negative neutral positive,99.2% 0.8% 0%,neg
https://news.google.com/__i/rss/rd/articles/CBMiUWh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS9tb250cmVhbC90cnVkZWF1LXJpby10aW50by1jYXItYmF0dGVyaWVzLTEuNjYxMzIzN9IBAA?oc=5,Justin Trudeau,"Ottawa will invest $222 million to help a Quebec company increase production of critical minerals for goods such as electric cars and batteries while simultaneously cutting emissions, Prime Minister Justin Trudeau said Tuesday. It's part of a $737-million plan from Rio Tinto over eight years to decarbonize its Rio Tinto Fer et Titane operations in Sorel-Tracy, Que., and boost its production of critical minerals such as lithium, scandium and titanium. Trudeau made the announcement after visiting the facility, about 90 kilometres northeast of Montreal. ""Today's announcement with Rio Tinto will create jobs and position Canada as a leader in the","Does this news show Justin Trudeau in a positive, negative or neutral way?",positive neutral negative,98.0% 2.0% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,98.5% 1.5% 0%,pos
https://news.google.com/__i/rss/rd/articles/CBMiigFodHRwczovL3d3dy5jYmMuY2EvbmV3cy9jYW5hZGEvYnJpdGlzaC1jb2x1bWJpYS9zb21lLWItYy1idXNpbmVzc2VzLWZlYXItZGVjbGluaW5nLXRyYWRlLXdpdGgtY2hpbmEtYWZ0ZXIteGktcy1yZWJ1a2Utb2YtdHJ1ZGVhdS0xLjY2NjUzMTTSAQA?oc=5,Justin Trudeau,"Some B.C. business owners say they are concerned about rising tensions between Canada and China, after Chinese President Xi Jinping confronted Prime Minister Justin Trudeau at the recent G20 summit in Indonesia. China is B.C.'s second-largest trade partner. At the summit, the Prime Minister's Office told reporters that Trudeau raised serious concerns with Xi about Chinese ""interference'' in Canada, but offered no specifics. In a rare unplanned exchange caught by cameras, Xi later confronted Trudeau about the fact that details had been shared with the media. ""Everything we discuss has been leaked to the paper; that's not appropriate,'' Xi said","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral negative positive,99.9% 0.1% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiXmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL2pvaG4taG9yZ2FuLW9mZmVycy1pbnRlcm1lZGlhcnktaGVhbHRoLWNhcmUtZnVuZGluZy0xLjY2NTI4NTLSAQA?oc=5,Justin Trudeau,"Outgoing B.C. Premier John Horgan says he's offered to act as an intermediary between Prime Minister Justin Trudeau and the premiers on the thorny topic of health-care funding once he leaves office. ""My message to the prime minister was, 'I've not fallen off the earth. If I can be of any value to the premiers, if I can be of value to the federal government, I want to do that,'"" Horgan said in an interview airing Sunday on Rosemary Barton Live . Health-care funding has become an even more contentious issue in recent weeks. The provinces and territories have been","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,100.0% 0% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiXmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS9zdWRidXJ5L3Rlbi1taWxsaW9udGgtdHJlZS1wbGFudGVkLXN1ZGJ1cnktcmVncmVlbmluZy0xLjY1MTMzOTPSAQA?oc=5,Justin Trudeau,"more than four decades ago. The tree was embedded near the William Bell Gazebo at Bell Park, an event taken in by a large crowd and dignitaries, including British primatologist and anthropologist Jane Goodall, founder of the Jane Goodall Institute and a UN messenger of peace, Canadian Prime Minister Justin Trudeau, and Environment and Climate Change Minister Steven Guilbeault. While some of Goodall's fans were at the event, so too were a small number of protesters who periodically interrupted speeches, including when she and Trudeau were speaking. They held banners and signs centred on different issues and did not appear","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,100.0% 0% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
